#,Type,Latitude,Longitude,Altitude (m),Deviance (m)
1,WP,42.6533705,-76.7969989,40.0,9
2,WP,42.654037,-76.7970181,40.0,26
3,WP,42.6546524,-76.7973947,40.0,52
4,WP,42.6548103,-76.7982745,40.0,N/A
