#,Type,Latitude,Longitude,Altitude (m),Deviance (m)
1,WP,42.6528795,-76.7982961,40.0,16
2,WP,42.654771,-76.7972795,40.0,28
3,LoitTime,42.654771,-76.7972795,40.0,N/A
4,WP,42.6560096,-76.7965057,40.0,22
5,WP,42.6528795,-76.7982961,40.0,19
6,LoitTime,42.654771,-76.7972795,40.0,N/A
